accession	strain
MN245985	USA/CO/2018-23163
MN245986	USA/CO/2018-23164
MN245987	USA/CO/2018-23165
MN245988	USA/CO/2018-23166
MN245989	USA/CO/2018-23182
MN259107	USA/FL/2016-23278
MN259108	USA/FL/2016-23279
MN246011	USA/GA/2018-23218
MN246015	USA/IL/2018-23252
MN240504	USA/IN/2009-23228
MN240513	USA/IN/2009-23240
MN240514	USA/IN/2009-23241
MN240493	USA/KS/2007-23111
MN240512	USA/KS/2007-23239
MN245991	USA/KY/2018-23198
MN245983	USA/MA/2018-23089
MN240501	USA/MD/2003-23225
MN240502	USA/MD/2003-23226
MN240510	USA/MD/2003-23236
MN240511	USA/MD/2003-23237
MN240495	USA/MD/2009-23114
MN240505	USA/MD/2009-23229
MN240515	USA/MD/2009-23242
MN240516	USA/MD/2009-23243
MN245999	USA/MD/2018-23206
MN246002	USA/MD/2018-23209
MN259115	USA/ME/2016-23286
MN240496	USA/MN/2003-23220
MN245997	USA/MN/2018-23204
MN245998	USA/MN/2018-23205
MN246026	USA/MN/2018-23263
MN240497	USA/MO/2000-23221
MN259110	USA/MO/2016-23281
MN259111	USA/MO/2016-23282
MN259112	USA/MO/2016-23283
MN259113	USA/MO/2016-23284
MN245990	USA/MO/2018-23197
MN246039	USA/MT/2018-23276
MN246003	USA/NE/2018-23210
MN246008	USA/NY/2018-23215
MN246009	USA/NY/2018-23216
MN246012	USA/NY/2018-23219
MN259120	USA/OH/2016-23291
MN245982	USA/OH/2018-23088
MN246016	USA/OH/2018-23253
MN246017	USA/OH/2018-23254
MN246018	USA/OH/2018-23255
MN246019	USA/OH/2018-23256
MN246020	USA/OH/2018-23257
MN246021	USA/OH/2018-23258
MN246023	USA/OH/2018-23260
MN246024	USA/OH/2018-23261
MN245993	USA/OK/2018-23200
MN259114	USA/PA/2016-23285
MN259118	USA/PA/2016-23289
MN245996	USA/PA/2018-23203
MN259117	USA/SC/2016-23288
MN246006	USA/TN/2018-23213
MN240498	USA/TX/2002-23222
MN240499	USA/TX/2003-23223
MN240500	USA/TX/2003-23224
MN259109	USA/TX/2016-23280
MN245995	USA/TX/2018-23202
MN246001	USA/TX/2018-23208
MN245994	USA/WA/2018-23201
MN240491	USA/WI/2006-23109
MN240503	USA/WI/2006-23227
MN240506	USA/WI/2009-23230
MN240517	USA/WI/2009-23245
MN240518	USA/WI/2009-23247
MN240519	USA/WI/2009-23248
MN365194	CA-RGDS-1063
MN365196	CA-RGDS-1065
MN365198	CA-RGDS-1067
MK419055	NY632_18
MK419057	NY637_18
MK419059	NY640_18
MK419061	NY650_18
MK419063	NY653_18
MK419066	NY667_18
MK419068	NY682_18
MK419070	NY698_18
MK419072	NY711_18
MK419074	NY718_18
MK419076	NY722_18
MK419045	NY588_18
MK419048	NY599_18
MK419050	NY609_18
MK419033	NY479_18
MK419035	NY510_18
MK419037	NY534_18
MK419039	NY555_18
MK419079	NY748_18
MK419040	NY558_18
MK419042	NY579_18
MK419052	NY616_18
MK419054	NY629_18
MT789735	CF193158-FRA-2016
MT789737	CF195004-FRA-2016
MT789740	CF487798-FRA-2018
MT789742	CF572239-FRA-2018
MT789744	CF606093-FRA-2018
MT789746	CF551739-FRA-2018
MT789749	CF425016-FRA-2018
MT789751	CF287798-FRA-2018
MT789753	CF434673-FRA-2018
MT789755	CF490734-FRA-2018
MT791929	CF226028-FRA-2016
MT791931	CF241733-FRA-2016
MT791933	CF183054-FRA-2016
MW664343	CLI-B3-55-EV-D68
MW664344	CLI-B3-60-EV-D68
MW664345	CLI-B3-77-EV-D68
MW664346	CLI-B3-78-EV-D68
MK614087	EV-D68/Homosapiens/CHN/DZH-ZJUC/2018
MN365195	CA-RGDS-1064
MN365197	CA-RGDS-1066
MN365200	CA-RGDS-1069
LC629439	TEv-13-Ph137
MZ824223	YC18116
MZ824224	YC18137
MZ824222	YC17106
MZ824221	WZ17226
MW697453	SHFD528
MW697454	SHFD3239
MW697455	SHFD6992
MT789734	CF193002-FRA-2016
MT789736	CF266116-FRA-2016
MT789738	CF569939-FRA-2018
MT789739	CF473248-FRA-2018
MT789741	CF425314-FRA-2018
MT789743	CF479745-FRA-2018
MT789745	CF601568-FRA-2018
MT789747	CF482253-FRA-2018
MT789748	CF434664-FRA-2018
MT789750	CF408680-FRA-2018
MT789752	CF408376-FRA-2018
MT789754	CF451498-FRA-2018
MT791927	CF307029-FRA-2014
MT791928	CF270004-FRA-2016
MT791930	CF194006-FRA-2016
MT791932	CF190038-FRA-2016
MT791934	CF125132-FRA-2016
MK419034	NY504_18
MK419036	NY518_18
MK419038	NY543_18
MK419077	NY736_18
MK419078	NY747_18
MK419080	NY787_18
MK419041	NY562_18
MK419051	NY611_18
MK419053	NY625_18
MK419056	NY633_18
MK419058	NY639_18
MK419060	NY642_18
MK419062	NY652_18
MK419064	NY655_18
MK419065	NY661_18
MK419067	NY671_18
MK419069	NY685_18
MK419071	NY708_18
MK419073	NY714_18
MK419075	NY720_18
MK419043	NY580_18
MK419044	NY584_18
MK419046	NY590_18
MK419047	NY591_18
MK419049	NY606_18
MT081368	USA/2018-23272
LC629436	TTa-08-Ph561
LC629437	TTa-11-Ph272
LC629438	TOp-12-Ph146
LC629440	TEv-13-Ph173
LC629441	TBp-13-Ph209
LC629442	TB9-15-Ph380
LC629443	TB6-15-Ph427
LC629444	TB8-15-Ph508
LC629445	TB5-16-Ph232
LC629446	TB5-16-Ph262
LC629447	TB5-17-Ph282
LC629448	TB5-18-Ph204
LC629449	TB5-18-Ph483
LC629450	TB5-18-Ph631
MW567157	S0003LXT
MW567158	S0045ZHW
MW567159	S0127XFS
MW567160	S0092GHZ
MW567161	S0408QHG
MW567162	S0368RJC
OW122595	EVCG618
OK085434	NSW169
OK085435	NSW177
OK085436	NSW214
OK085437	NSW205
OK085438	NSW117
OK085439	NSW240
OK085440	NSW233
OK085441	NSW155
OK085442	NSW226
OK085443	NSW211
OK085444	NSW246
OK085445	NSW187
OK085446	NSW262
OK085447	NSW216
OK085448	NSW188
OK085449	NSW173
OK085450	NSW178
OK085451	NSW210
OK085452	NSW247
OK085453	NSW206
OK085454	NSW218
OK085455	NSW228
OK085456	NSW224
OK085457	NSW217
OK085458	NSW207
OK085459	NSW232
OK085460	NSW179
OK085461	NSW244
OK085462	NSW143
OK085463	NSW166
OK085464	NSW167
NC_038308	Fermon-NC_038308
PP474817	EV-D68/Ontario/PHL0001/2022
PP474818	EV-D68/Ontario/PHL0009/2022
PP474819	EV-D68/Ontario/PHL0068/2022
PP474820	EV-D68/Ontario/PHL0035/2022
PP474821	EV-D68/Ontario/PHL0037/2022
PP474822	EV-D68/Ontario/PHL0093/2022
PP474823	EV-D68/Ontario/PHL0054/2022
PP474824	EV-D68/Ontario/PHL0091/2022
PP474825	EV-D68/Ontario/PHL0005/2022
PP474826	EV-D68/Ontario/PHL0058/2022
PP474827	EV-D68/Ontario/PHL0080/2022
PP474828	EV-D68/Ontario/PHL0032/2022
PP474829	EV-D68/Ontario/PHL0052/2022
PP474830	EV-D68/Ontario/PHL0017/2022
PP474831	EV-D68/Ontario/PHL0044/2022
PP474832	EV-D68/Ontario/PHL0024/2022
PP474833	EV-D68/Ontario/PHL0028/2022
PP474834	EV-D68/Ontario/PHL0090/2022
PP474835	EV-D68/Ontario/PHL0083/2022
PP474836	EV-D68/Ontario/PHL0021/2022
PP474837	EV-D68/Ontario/PHL0087/2022
PP474838	EV-D68/Ontario/PHL0002/2022
PP474839	EV-D68/Ontario/PHL0086/2022
PP474840	EV-D68/Ontario/PHL0060/2022
PP474841	EV-D68/Ontario/PHL0076/2022
PP474842	EV-D68/Ontario/PHL0082/2022
PP474843	EV-D68/Ontario/PHL0064/2022
PP474844	EV-D68/Ontario/PHL0010/2022
PP474845	EV-D68/Ontario/PHL0012/2022
PP474846	EV-D68/Ontario/PHL0034/2022
PP474847	EV-D68/Ontario/PHL0013/2022
PP474848	EV-D68/Ontario/PHL0016/2022
PP474849	EV-D68/Ontario/PHL0043/2022
PP474850	EV-D68/Ontario/PHL0074/2022
PP474851	EV-D68/Ontario/PHL0020/2022
PP474852	EV-D68/Ontario/PHL0069/2022
PP474853	EV-D68/Ontario/PHL0046/2022
PP474854	EV-D68/Ontario/PHL0048/2022
PP474855	EV-D68/Ontario/PHL0057/2022
PP474856	EV-D68/Ontario/PHL0096/2022
PP474857	EV-D68/Ontario/PHL0095/2022
PP474858	EV-D68/Ontario/PHL0073/2022
PP474859	EV-D68/Ontario/PHL0097/2022
PP474860	EV-D68/Ontario/PHL0041/2022
PP474861	EV-D68/Ontario/PHL0070/2022
PP474862	EV-D68/Ontario/PHL0029/2022
PP474863	EV-D68/Ontario/PHL0084/2022
PP474864	EV-D68/Ontario/PHL0022/2022
PP474865	EV-D68/Ontario/PHL0059/2022
PP474866	EV-D68/Ontario/PHL0062/2022
PP474867	EV-D68/Ontario/PHL0078/2022
PP474868	EV-D68/Ontario/PHL0085/2022
PP474869	EV-D68/Ontario/PHL0063/2022
PP474870	EV-D68/Ontario/PHL0081/2022
PP474871	EV-D68/Ontario/PHL0011/2022
PP474872	EV-D68/Ontario/PHL0061/2022
PP474873	EV-D68/Ontario/PHL0030/2022
PP474874	EV-D68/Ontario/PHL0003/2022
PP474875	EV-D68/Ontario/PHL0004/2022
PP474876	EV-D68/Ontario/PHL0042/2022
PP474877	EV-D68/Ontario/PHL0039/2022
PP474878	EV-D68/Ontario/PHL0072/2022
PP474879	EV-D68/Ontario/PHL0094/2022
PP474880	EV-D68/Ontario/PHL0007/2022
PP474881	EV-D68/Ontario/PHL0018/2022
PP474882	EV-D68/Ontario/PHL0006/2022
PP474883	EV-D68/Ontario/PHL0031/2022
PP474884	EV-D68/Ontario/PHL0088/2022
PP474885	EV-D68/Ontario/PHL0033/2022
PP474886	EV-D68/Ontario/PHL0092/2022
PP474887	EV-D68/Ontario/PHL0047/2022
PP474888	EV-D68/Ontario/PHL0079/2022
PP474889	EV-D68/Ontario/PHL0077/2022
PP474890	EV-D68/Ontario/PHL0065/2022
PP474891	EV-D68/Ontario/PHL0014/2022
PP474892	EV-D68/Ontario/PHL0098/2022
PP474893	EV-D68/Ontario/PHL0053/2022
PP474894	EV-D68/Ontario/PHL0023/2022
PP474895	EV-D68/Ontario/PHL0038/2022
PP474896	EV-D68/Ontario/PHL0015/2022
PP474897	EV-D68/Ontario/PHL0089/2022
PP474898	EV-D68/Ontario/PHL0056/2022
PP474899	EV-D68/Ontario/PHL0050/2022
PP474900	EV-D68/Ontario/PHL0049/2022
PP474901	EV-D68/Ontario/PHL0036/2022
PP474902	EV-D68/Ontario/PHL0055/2022
PP474903	EV-D68/Ontario/PHL0008/2022
OR235127	USA/2022-23447
OR235128	USA/2022-23448
OR235129	USA/2022-23449
OR235130	USA/2022-23450
OR235131	USA/2022-23451
PP157595	USA/2020-23334
PP157596	USA/2020-23336
PP025331	EV-D68/USA/WA-UW-a0771/2019
OR833014	EV-D68/USA/WA-UW-0b718/2019
OR833015	EV-D68/USA/WA-UW-2c8da/2019
OR833023	EV-D68/USA/WA-UW-08a64/2019
OR833032	EV-D68/USA/WA-UW-44dd6/2019
OR833048	EV-D68/USA/WA-UW-b4a24/2019
OR833055	EV-D68/USA/WA-UW-dea74/2019
OR656579	SWE_2023/002
OR571424	SWE_2023/001
OR460083	USA/2022/40009-30
OR230416	USA/2020-23452
OR230417	USA/2020-23454
OR230418	USA/2020-23456
OR230419	USA/2020-23457
OR230420	USA/2020-23458
OR230421	USA/2020-23459
OR230422	USA/2020-23460
OR230423	USA/2020-23461
OR230424	USA/2020-23462
OR230425	USA/2020-23463
OR230426	USA/2020-23464
OR230427	USA/2020-23465
OR230428	USA/2020-23466
OR230429	USA/2020-23467
OQ653554	US/2018-23087
OQ791518	EV-D68/USA/4E1/2009
OQ791519	EV-D68/USA/4G4/2009
OQ737941	USA/NY/2016-33474
OQ553811	EV-D68/Russia/MOW-RII-MH124611/2022
OQ451882	22GZ07075
OQ259308	eVD68/Groningen/02/2019_B3_
OQ259309	eVD68/Groningen/03/2019_B3_
OQ259310	eVD68/Groningen/04/2019_B3_
OQ259311	eVD68/Groningen/05/2019_B3_
OQ259312	eVD68/Groningen/06/2019_B3_
OQ259313	eVD68/Groningen/07/2019_B3_
OQ259314	eVD68/Groningen/08/2019_B3_
OQ259315	eVD68/Groningen/09/2019_B3_
OQ259316	eVD68/Groningen/10/2019_B3_
OQ259317	eVD68/Groningen/11/2019_B3_
OQ259318	eVD68/Groningen/13/2020_B3_
OQ259319	eVD68/Groningen/18/2020_B3_
OQ259320	eVD68/Groningen/20/2020_B3_
OQ285848	eVD68/Groningen/01/2019_B3_
OQ285849	eVD68/Groningen/12/2019_A2_
OQ285850	eVD68/Groningen/14/2020_B3_
OQ285851	eVD68/Groningen/15/2020_B3_
OQ285852	eVD68/Groningen/16/2020_B3_
OQ285853	eVD68/Groningen/17/2020_B3_
OQ285854	eVD68/Groningen/19/2020_B3_
OQ160430	SWE_2022_002
OQ160431	SWE_2022_003
OQ160433	SWE_2022_005
OP572035	JH-EV-19/2022
OP572036	JH-EV-20/2022
OP572037	JH-EV-21/2022
OP572038	JH-EV-22/2022
OP572039	JH-EV-23/2022
OP572040	JH-EV-24/2022
OP572041	JH-EV-25/2022
OP572042	JH-EV-26/2022
OP572043	JH-EV-27/2022
OP572044	JH-EV-28/2022
OP572045	JH-EV-29/2022
OP572046	JH-EV-30/2022
OP572047	JH-EV-31/2022
OP572048	JH-EV-32/2022
OP572049	JH-EV-33/2022
OP572050	JH-EV-34/2022
OP572051	JH-EV-35/2022
OP572052	JH-EV-36/2022
OP572054	JH-EV-38/2022
OP572055	JH-EV-39/2022
OP572056	JH-EV-40/2022
OP572057	JH-EV-41/2022
OP572058	JH-EV-42/2022
OP572059	JH-EV-43/2022
OP572061	JH-EV-45/2022
OP572062	JH-EV-46/2022
OP572063	JH-EV-47/2022
OP572064	JH-EV-48/2022
OP572065	JH-EV-49/2022
OP572066	JH-EV-50/2022
OP572067	JH-EV-51/2022
OP572068	JH-EV-52/2022
OP572069	JH-EV-53/2022
OP572071	JH-EV-55/2022
OP572072	JH-EV-56/2022
OP572073	JH-EV-57/2022
OP572074	JH-EV-58/2022
OP572075	JH-EV-59/2022
OP572076	JH-EV-60/2022
OP572077	JH-EV-61/2022
OP572078	JH-EV-62/2022
OP572079	JH-EV-63/2022
OP572080	JH-EV-64/2022
OP572081	JH-EV-65/2022
OP572082	JH-EV-66/2022
OP572083	JH-EV-67/2022
OP572084	JH-EV-68/2022
OP572085	JH-EV-69/2022
OP572086	JH-EV-70/2022
OP572087	JH-EV-71/2022
OP572088	JH-EV-72/2022
OP572089	JH-EV-73/2022
OP572090	JH-EV-74/2022
OP572091	JH-EV-75/2022
OP572092	JH-EV-76/2022
OP572093	JH-EV-77/2022
OP572094	JH-EV-78/2022
OP572095	JH-EV-79/2022
OP389245	LYO-VRES-22-345-71-FRA2022
OP389246	LYO-VRES-22-346-16-FRA2022
OP295397	JH-EV-0019/2021
OP295398	JH-EV-0009/2021
OP295399	JH-EV-0010/2021
OP295400	JH-EV-0014/2021
OP295401	JH-EV-0015/2021
OP295402	JH-EV-0017/2021
OP295403	JH-EV-0011/2021
OP295404	JH-EV-0016/2021
OP295405	JH-EV-0002/2021
