accession	strain
OQ126981	NL10-21-12
OQ126982	NL10-21-14
OQ126983	NL10-21-15
OQ126984	NL10-21-17
OQ126985	NL10-21-18
OQ126986	NL10-21-21
OQ126987	NL10-21-22
OQ126988	NL10-21-23
OQ126989	NL10-21-24
OQ126990	NL10-21-25
OQ126991	NL10-21-26
OQ126992	NL10-21-28
OQ126993	NL10-21-29
OQ126994	NL10-21-34
OQ126995	NL10-21-35
OQ126996	NL10-21-36
OQ126997	NL11-21-01
OQ126998	NL12-21-01
OQ126999	NL12-21-03
OQ127000	NL12-21-05
OQ127001	NL12-21-06
OQ127002	NL12-21-07
OQ127003	NL12-21-08
KT280503	2011-21186
KT285320	2011-21282
KT306743	2011-21286
KT285319	2012-12225
KT280504	2013-0720-6
KT280502	2013-0825-6
KT280501	2013-1017-26
KT280500	2014-R0672
KT280498	2014-R1011
KT280497	2014-R1153
KT280496	2014-R1357
KT280499	2014-R970
KF726085	BCH895A
KP240936	Beijing-R0132
KU242683	BJ24
KM892501	CA/AFP/11-1767
KM892499	CA/AFP/v12T00346
KM892500	CA/RESP/10-786
KT803589	CHN/CQ2860/2012
KT803588	CHN/CQ5508/2013
KT803590	CHN/CQ5571/2013
KT803591	CHN/CQ7170/2014
KT803598	CHN/CQ7174/2014
KT803592	CHN/CQ7188/2014
KT803593	CHN/CQ7208/2014
KT803594	CHN/CQ7214/2014
KT803599	CHN/CQ7225/2014
KT803596	CHN/CQ7226/2014
KT803597	CHN/CQ7233/2014
KT803595	CHN/CQ7280/2014
KT803600	CHN/CQ7360/2014
KT266905	EV-D68/Haiti/1/2014
KM881710	EV-D68_STL_2014_12
KT835407	EV68/Ontario/C818710/2014
KT835408	EV68/Ontario/C818712/2014
KP114662	EV68_Alberta17390_2014
KP114665	EV68_Alberta17789_2014
KP114664	EV68_Alberta2985_2014
KP114663	EV68_Alberta4693_2014
KT347234	EVD68/Homosapiens/USA/MO1/2014
KT347257	EVD68/Homosapiens/USA/MO10/2014
KT347260	EVD68/Homosapiens/USA/MO11/2014
KT347258	EVD68/Homosapiens/USA/MO12/2014
KT347248	EVD68/Homosapiens/USA/MO13/2014
KT347243	EVD68/Homosapiens/USA/MO14/2014
KT347228	EVD68/Homosapiens/USA/MO15/2014
KT347249	EVD68/Homosapiens/USA/MO16/2014
KT347270	EVD68/Homosapiens/USA/MO17/2014
KT347241	EVD68/Homosapiens/USA/MO18/2014
KT347233	EVD68/Homosapiens/USA/MO19/2014
KT347277	EVD68/Homosapiens/USA/MO2/2014
KT347256	EVD68/Homosapiens/USA/MO20/2014
KT347276	EVD68/Homosapiens/USA/MO21/2014
KT347264	EVD68/Homosapiens/USA/MO22/2014
KT347255	EVD68/Homosapiens/USA/MO23/2014
KT347253	EVD68/Homosapiens/USA/MO24/2014
KT347225	EVD68/Homosapiens/USA/MO25/2014
KT347227	EVD68/Homosapiens/USA/MO26/2014
KT347266	EVD68/Homosapiens/USA/MO27/2014
KT347263	EVD68/Homosapiens/USA/MO28/2014
KT347244	EVD68/Homosapiens/USA/MO3/2014
KT347237	EVD68/Homosapiens/USA/MO30/2014
KT347229	EVD68/Homosapiens/USA/MO31/2014
KT347238	EVD68/Homosapiens/USA/MO32/2014
KT347254	EVD68/Homosapiens/USA/MO33/2014
KT347267	EVD68/Homosapiens/USA/MO34/2014
KT347275	EVD68/Homosapiens/USA/MO35/2014
KT347265	EVD68/Homosapiens/USA/MO36/2014
KT347250	EVD68/Homosapiens/USA/MO37/2014
KT347279	EVD68/Homosapiens/USA/MO38/2014
KT347236	EVD68/Homosapiens/USA/MO39/2014
KT347235	EVD68/Homosapiens/USA/MO4/2014
KT347231	EVD68/Homosapiens/USA/MO40/2014
KT347247	EVD68/Homosapiens/USA/MO41/2014
KT347273	EVD68/Homosapiens/USA/MO42/2014
KT347274	EVD68/Homosapiens/USA/MO43/2014
KT347272	EVD68/Homosapiens/USA/MO44/2014
KT347269	EVD68/Homosapiens/USA/MO45/2014
KT347232	EVD68/Homosapiens/USA/MO46/2014
KT347251	EVD68/Homosapiens/USA/MO47/2014
KT347230	EVD68/Homosapiens/USA/MO48/2014
KT347240	EVD68/Homosapiens/USA/MO49/2014
KT347242	EVD68/Homosapiens/USA/MO5/2014
KT347268	EVD68/Homosapiens/USA/MO50/2014
KT347252	EVD68/Homosapiens/USA/MO51/2014
KT347226	EVD68/Homosapiens/USA/MO53/2014
KT347223	EVD68/Homosapiens/USA/MO54/2014
KT347246	EVD68/Homosapiens/USA/MO56/2014
KT347262	EVD68/Homosapiens/USA/MO57/2014
KT347224	EVD68/Homosapiens/USA/MO58/2014
KT347245	EVD68/Homosapiens/USA/MO59/2014
KT347239	EVD68/Homosapiens/USA/MO6/2014
KT347261	EVD68/Homosapiens/USA/MO60/2014
KT347271	EVD68/Homosapiens/USA/MO7/2014
KT347278	EVD68/Homosapiens/USA/MO8/2014
KT347259	EVD68/Homosapiens/USA/MO9/2014
KT347280	EVD68/Homosapiens/USA/N0051U5/2012
AY426531	Fermon-AY426531
KT825142	MEX/DF/2014-InDRE2351
KT803995	MEX/DGO/2014-InDRE2271
KP745751	NY120
KP745752	NY124
KP745753	NY126
KP745754	NY130
KP745755	NY153
KP745756	NY160
KP745757	NY210
KP745758	NY263
KP745759	NY275
KP745760	NY278
KP745761	NY305
KP745762	NY309
KP745763	NY314
KP745764	NY316
KP745765	NY326
KP745766	NY328
KP745767	NY329
KP745768	NY73
KP745769	NY74
KP745770	NY77
JX101846	NYC403
JX070222	NZ-2010-541
KP100792	US/CA/14-6092
KP100796	US/CA/14-6100
KP100795	US/CA/14-6103SIB
KP100794	US/CO/13-60
KP126911	US/CO/14-93
KP100793	US/CO/14-94
KM851230	US/IL/14-18952
KM851229	US/KY/14-18951
KM851231	US/KY/14-18953
KM851225	US/MO/14-18947
KM851226	US/MO/14-18948
KM851227	US/MO/14-18949
KM851228	US/MO/14-18950
KT318494	1-I8/TW/2008
KT231897	4310900947_RD2
KT231898	4310900947_RD3
KT231899	4310901348_RD2
KT231901	4310902042_RD2
KT231902	4310902042_RD3
KT231903	4310902284_RD2
KT231905	4311000670_tMK3RD1
KT231907	4311000742_tMK3RD1
LC107895	594-OsakaC-JPN-2015
LC107896	639-OsakaC-JPN-2015
LC068708	692-OsakaCity-JPN-2013
LC068709	705-OsakaCity-JPN-2013
LC068710	726-OsakaCity-JPN-2013
LC068711	727-OsakaCity-JPN-2013
LC107897	A184-OsakaC-JPN-2015
LC107898	A241-OsakaC-JPN-2015
LC107899	A244-OsakaC-JPN-2015
